[2025-08-22 12:38:48] Host: null, User: shandy, Windows: 10.16 - Request: GET /jsp-shop/assets/css/bootstrap.css.map from IP: 0:0:0:0:0:0:0:1
[2025-08-22 12:38:48] Host: null, User: shandy, Windows: 10.16 - Request: GET /jsp-shop/assets/js/bootstrap.js.map from IP: 0:0:0:0:0:0:0:1
[2025-08-22 12:38:55] Host: null, User: shandy, Windows: 10.16 - Request: GET /jsp-shop/product from IP: 0:0:0:0:0:0:0:1
[2025-08-22 12:38:56] Host: null, User: shandy, Windows: 10.16 - Request: GET /jsp-shop/assets/images/123 from IP: 0:0:0:0:0:0:0:1
[2025-08-22 12:38:56] Host: null, User: shandy, Windows: 10.16 - Request: GET /jsp-shop/assets/css/bootstrap.css.map from IP: 0:0:0:0:0:0:0:1
[2025-08-22 12:38:56] Host: null, User: shandy, Windows: 10.16 - Request: GET /jsp-shop/assets/js/bootstrap.js.map from IP: 0:0:0:0:0:0:0:1
[2025-08-22 12:38:57] Host: null, User: shandy, Windows: 10.16 - Request: GET /jsp-shop/product from IP: 0:0:0:0:0:0:0:1
[2025-08-22 12:38:57] Host: null, User: shandy, Windows: 10.16 - Request: GET /jsp-shop/assets/css/bootstrap.css.map from IP: 0:0:0:0:0:0:0:1
[2025-08-22 12:38:57] Host: null, User: shandy, Windows: 10.16 - Request: GET /jsp-shop/assets/js/bootstrap.js.map from IP: 0:0:0:0:0:0:0:1
[2025-08-22 12:39:30] Host: null, User: shandy, Windows: 10.16 - Request: GET /jsp-shop/product from IP: 0:0:0:0:0:0:0:1
[2025-08-22 12:39:30] Host: null, User: shandy, Windows: 10.16 - Request: GET /jsp-shop/assets/css/bootstrap.css.map from IP: 0:0:0:0:0:0:0:1
[2025-08-22 12:39:30] Host: null, User: shandy, Windows: 10.16 - Request: GET /jsp-shop/assets/js/bootstrap.js.map from IP: 0:0:0:0:0:0:0:1
[2025-08-22 12:42:42] Host: null, User: shandy, Windows: 10.16 - Request: GET /jsp-shop/ from IP: 0:0:0:0:0:0:0:1
[2025-08-22 12:42:46] Host: null, User: shandy, Windows: 10.16 - Request: POST /jsp-shop/login from IP: 0:0:0:0:0:0:0:1
[2025-08-22 12:42:46] Host: null, User: shandy, Windows: 10.16 - Request: GET /jsp-shop/product from IP: 0:0:0:0:0:0:0:1
[2025-08-22 12:42:46] Host: null, User: shandy, Windows: 10.16 - Request: GET /jsp-shop/assets/images/123 from IP: 0:0:0:0:0:0:0:1
[2025-08-22 12:42:48] Host: null, User: shandy, Windows: 10.16 - Request: POST /jsp-shop/logout from IP: 0:0:0:0:0:0:0:1
[2025-08-22 12:42:48] Host: null, User: shandy, Windows: 10.16 - Request: GET /jsp-shop/login from IP: 0:0:0:0:0:0:0:1
[2025-08-22 12:42:51] Host: null, User: shandy, Windows: 10.16 - Request: POST /jsp-shop/login from IP: 0:0:0:0:0:0:0:1
[2025-08-22 12:42:51] Host: null, User: shandy, Windows: 10.16 - Request: GET /jsp-shop/product from IP: 0:0:0:0:0:0:0:1
[2025-08-22 12:42:51] Host: null, User: shandy, Windows: 10.16 - Request: GET /jsp-shop/assets/images/123 from IP: 0:0:0:0:0:0:0:1
[2025-08-22 12:43:01] Host: null, User: shandy, Windows: 10.16 - Request: GET /jsp-shop/product from IP: 0:0:0:0:0:0:0:1
[2025-08-22 12:43:05] Host: null, User: shandy, Windows: 10.16 - Request: GET /jsp-shop/product from IP: 0:0:0:0:0:0:0:1
[2025-08-22 12:43:05] Host: null, User: shandy, Windows: 10.16 - Request: GET /jsp-shop/assets/images/123 from IP: 0:0:0:0:0:0:0:1
[2025-08-22 12:43:08] Host: null, User: shandy, Windows: 10.16 - Request: GET /jsp-shop/product from IP: 0:0:0:0:0:0:0:1
[2025-08-22 12:43:11] Host: null, User: shandy, Windows: 10.16 - Request: GET /jsp-shop/product from IP: 0:0:0:0:0:0:0:1
[2025-08-22 12:43:20] Host: null, User: shandy, Windows: 10.16 - Request: GET /jsp-shop/product from IP: 0:0:0:0:0:0:0:1
[2025-08-22 12:43:36] Host: null, User: shandy, Windows: 10.16 - Request: GET /jsp-shop/product from IP: 0:0:0:0:0:0:0:1
[2025-09-18 16:18:50] Host: null, User: shandy, Windows: 14.4.1 - Request: GET /jsp-shop/login from IP: 0:0:0:0:0:0:0:1
[2025-09-18 16:18:50] Host: null, User: shandy, Windows: 14.4.1 - Request: GET /jsp-shop/assets/css/bootstrap.css from IP: 0:0:0:0:0:0:0:1
[2025-09-18 16:18:50] Host: null, User: shandy, Windows: 14.4.1 - Request: GET /jsp-shop/assets/js/bootstrap.bundle.min.js from IP: 0:0:0:0:0:0:0:1
[2025-09-18 16:18:50] Host: null, User: shandy, Windows: 14.4.1 - Request: GET /jsp-shop/assets/js/main.js from IP: 0:0:0:0:0:0:0:1
[2025-09-18 16:18:50] Host: null, User: shandy, Windows: 14.4.1 - Request: GET /jsp-shop/assets/css/style.css from IP: 0:0:0:0:0:0:0:1
